utterance_id,transcription,emotion
Ses02M_script03_2_F007,"Well, if you hadn't been so nosey and suspicious you never wouldn't have known anything about it.",neutral
Ses02M_script01_1_M017,You know.,neutral
Ses04F_script03_1_M031,The worst one was in Cannes when your curling irons burnt holes in my dressing gown.,neutral
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neutral
Ses03M_script03_2_M021,I think that,neutral
Ses02F_script02_1_F021,About what?,neutral
Ses02M_script01_1_F021,From father's point of you he isn't dead and you have no right to take his girl.,neutral
Ses01M_impro05_F034,We have plenty of aggressive searching going on it's not there.  Someone's taken it.,neutral
Ses02F_impro04_M004,"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--",neutral
Ses03F_impro08_F016,we compensating you for all your-,neutral
Ses01M_script02_2_F047,Or not.,neutral
Ses02M_impro05_F001,"Oh, did you check? Did you make sure as it went around the second time that it-",neutral
Ses02F_impro08_F014,Yeah.,neutral
Ses03M_impro05b_F000,Can I help you sir?,neutral
Ses04M_script01_1_F033,Just give it some more thought.,neutral
Ses05F_script03_1_F013,Who's they?,neutral
Ses01F_impro05_M004,Okay.,neutral
Ses03F_script01_2_M003,How do you know he's even thinking about it?,neutral
Ses01F_script02_2_F001,About what?,neutral
Ses03M_impro08a_M000,Hello.  This is Viacom Services.  How can I help you?,neutral
Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,neutral
Ses01F_script03_2_M031,This is no time of year for Tunis.,neutral
Ses02M_impro01_M004,"Uh, sorry, I forgot them. I mean I've got to -",neutral
Ses02F_impro04_M015,"That obviously that's not true though.  I mean, you've done this before.  You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--",neutral
Ses01F_impro06_F003,That's sweet.,neutral
Ses02M_script03_2_M011,"No particular reason. Anyhow, they are very small ones.",neutral
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neutral
Ses03F_impro04_M002,Russel Crowe wasn't forty until he got his big stuff.,neutral
Ses05M_script02_2_M016,"It was in the car, right?  When we were passing Knickerbocker Liquor Locker, you said, Let's stop and get champagne. and I said that times a wasting or something like that, right?  You wanted it to be like it was before, right?",neutral
Ses03M_script03_2_F006,"Well it didn't harm him, in fact, it pleasured him a lot and it didn't hurt me.",neutral
Ses03F_impro07_M033,"Well, get used to it.",neutral
Ses02F_script03_1_M015,"Certainly, you must.  We're figures of fun, alright.",neutral
Ses05F_impro08_F014,"Okay so, I'll just look it up and you know see what's going on, maybe we can...",neutral
Ses05F_script03_1_M030,"Oh, I didn't hit you very hard.",neutral
Ses05M_impro08_M024,Absolutely.  It's a new service we are offering.,neutral
Ses03F_impro07_M000,"Hey, Isabella.",neutral
Ses03F_script01_1_M053,"No, you don't. I'm a pretty tough guy.",neutral
Ses03M_impro03_M033,I'm twenty eight years old.,neutral
Ses01F_script02_1_M007,"The flashlight, the silver one.  There's only one, isn't there?",neutral
Ses04F_impro07_M080,"No, no, no.  You're right though.  I mean, you know, dorms are definitely the way to meet people.  I know that I was in an apartment off campus",neutral
Ses02M_impro08_M021,so it is a little a little hard in that situation if you want -- you know you can -um- we can- we can issue another credit card.,neutral
Ses05M_impro04_F029,Have you checked out Craig's List and stuff?,neutral
Ses05F_impro04_M031,"Do they seem to like you? I mean, Can you get any read from them?",neutral
Ses05F_impro08_F027,ahh one eight hundred three two three,neutral
Ses02M_script03_2_M032,All right. I will.,neutral
Ses04F_script03_1_F012,Who's they?,neutral
Ses03M_impro05b_F023,"Well we have some people back there that need some firing so, but I would just really appreciate--",neutral
Ses01M_impro06_F008,how was sick?,neutral
Ses01F_impro06_M004,Hmm.,neutral
Ses04F_impro04_M004,I don't know.,neutral
Ses04F_impro04_M020,"and I want- I mean you know you've got to, like, do your hair.  I mean- I don't know, it's like,",neutral
Ses01M_impro04_F010,I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,neutral
Ses01F_impro04_M031,I don't think I'm anyone.,neutral
Ses04F_impro07_M071,"Yeah, you don't want to do the sorority thing because you'll probably get used and abused by",neutral
Ses01F_script02_2_M047,Do you want to go home?  Are you cold?,neutral
Ses03M_script03_1_M035,I didn't hit you very hard.,neutral
Ses04F_script03_1_M028,The one where you bought that little painted wooden snake and put it on my bed.,neutral
Ses02F_impro08_F022,"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning.  So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui.",neutral
Ses05M_impro04_F021,ah.,neutral
Ses04F_impro07_M079,"I hate to break this to you but you meet people by being cool, so-",neutral
Ses03F_impro02_F000,"How's it going, babe?",neutral
Ses02F_impro08_F009,All I'm going to need is your credit card number but just give me one moment. So-,neutral
Ses03F_impro08_F000,"Hello sir, can I help you?",neutral
Ses04F_script01_1_F025,You're a considerate fellow.  There's nothing wrong in that.,neutral
Ses03F_impro04_M010,"You're only twenty five, okay? Some people don't start until they're thirty five.",neutral
Ses02M_script02_2_M023,Take off our shoes?,neutral
Ses05M_impro03_M019,"oh, She's back at work. yeah.",neutral
Ses01M_script02_2_M008,Can I ask you a question?  Are you on your period?,neutral
Ses02F_script03_1_F027,That was the first time you ever hit me.,neutral
Ses05F_script03_1_F010,The whole business is really rather ridiculous.,neutral
Ses02M_script02_1_F000,Fine.,neutral
Ses05F_impro04_M024,You know I would never let that happen.  I wouldn't let that happen.,neutral
Ses05M_script02_2_F001,It's ridiculous.,neutral
Ses02M_impro01_F015,"I'm sorry, sir.",neutral
Ses03M_impro05a_F009,Eight pieces of luggage.  Okay.,neutral
Ses05F_impro04_M038,So what's the something else?,neutral
Ses02F_impro04_M003,"No, come on.  Don't [GARBAGE]",neutral
Ses04F_script01_2_M007,"Uh, Then why is she still-she's not his girl, Joe",neutral
Ses02F_impro05_F000,"Hi, um, excuse me, I believe that the airline lost my baggage.",neutral
Ses02F_impro08_M016,"And, like, there's there's shuttles or something that I can get to the hotel.",neutral
Ses04M_script02_2_M020,"Wait a minute, I've got it.",neutral
Ses05F_impro08_F030,I'm sorry that it was an inconvenience.,neutral
Ses05F_script02_2_M010,Well We will see them this year.,neutral
Ses02F_impro08_M011,"Well, it's gonna be four of them.",neutral
Ses01M_script02_1_M039,"Come on, trust me I got instincts for these things, okay?  So just--just think about it all right?  Okay, I know you're not interested, think about it...",neutral
Ses04M_script03_2_F024,It's a pity you didn't- It's a pity you didn't have more brandy.,neutral
Ses03F_script01_2_M007,How do you know why she's waited?,neutral
Ses05M_script03_2_F023,"Yes, I did quite a lot.",neutral
Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",neutral
Ses04M_impro05_F008,refund--coverage of the bag that was lost. yes,neutral
Ses05F_impro05_M030,"Well, I understand that.  Did you buy flight insurance?",neutral
Ses04M_script03_1_M033,"As a matter of fact, the real cause of that row was Peter Burden.",neutral
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neutral
Ses04M_script01_1_F000,What's he going to say?  Maybe we ought to tell him before he sees it.,neutral
Ses04M_impro07_M030,Maybe some golf matches.,neutral
Ses02M_impro01_F016,there is nothing I can do.,neutral
Ses02F_script03_1_M013,All those futile moralists that try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths.,neutral
Ses05M_impro08_M012,"Okay, And uh- go ahead and click on run.",neutral
Ses05F_impro04_M033,Do they give you any specifics as to why they didn't go with you?,neutral
Ses03M_script03_2_F017,That's the woman's job to lure the man.  Watch me a moment won't you?,neutral
Ses03M_impro04_F030,But you got to be real about it.  You have to...,neutral
Ses05M_impro04_F031,Okay.  All right.,neutral
Ses05F_impro04_M036,Of course.,neutral
Ses02M_script02_1_F011,Not particularly.,neutral
Ses04F_impro03_M029,"Okay, fine. Greens and blues.",neutral
Ses02M_impro08_M009,"All right. Well, you know that's, that's what we have all of our protection plans for and everything like that so I mean it's",neutral
Ses02M_impro05_M003,Okay. So what-what do I have to get you know,neutral
Ses05M_script01_2_M000,Why does that bother you?,neutral
Ses02M_impro08_M031,"Alright Yes, I'm sorry for all the inconvenience but we'll get it taken care of.",neutral
Ses04M_impro07_M032,I don't know.  Do they have golf?  Do they have- Does U.S.C. have a -- I don't know if they have a golf team.,neutral
Ses01M_impro04_F008,"Right, sure.",neutral
Ses02F_script02_2_M003,"Well, I'm not the only one.  Look at all these people.",neutral
Ses03F_script01_1_M036,It just is. I-,neutral
Ses03F_impro08_F029,Okay? Thank you for calling.  Goodbye.,neutral
Ses03F_impro04_M017,Maybe you could start teaching. I don't know.,neutral
Ses03F_impro08_F028,and we will take care of it if anything happens.  But all we can do now is ask for your patience.,neutral
Ses05F_impro04_M001,"Well, of course not, but what are you going to do if you move back home?  Are you going to be able to find a job there?",neutral
Ses02F_impro05_M004,"Uh, But, we are willing to reimburse you for the bag and and for the contents--",neutral
Ses01F_impro06_M012,Is it a big cemetery?,neutral
Ses04F_script03_2_M010,"I'll have some myself, I think.",neutral
Ses05M_script01_3_M003,Well-,neutral
Ses04M_impro05_F003,Right.,neutral
Ses03M_impro08a_M022,"I'm, I'm sorry you chose to live there um--",neutral
Ses02F_impro08_F020,Okay.  Great.  What time of the day would you like?,neutral
Ses02F_script03_1_M007,With the most perfect poise?,neutral
Ses03M_impro05b_F015,Did you have your name tags on the luggage?,neutral
Ses04F_script03_1_M029,Horrible thing.  I hated it.,neutral
Ses03M_impro04_M038,Same difference.,neutral
Ses05F_script01_3_F024,Do you still feel like that?,neutral
Ses05F_impro04_M000,"Babe, I don't know what to tell you.  Don't give up.",neutral
Ses02F_impro04_M011,... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--,neutral
Ses01M_script01_2_M007,And how do you know why she's waited.,neutral
Ses04F_impro03_M031,Yeah?,neutral
Ses05F_impro05_M018,"Well, you know, sometimes that's--really, I mean what else could we do?",neutral
Ses03F_script02_1_M022,"I mean, don't you want to see it?",neutral
Ses05F_impro04_F038,"Well, I'd like to be a working actor.",neutral
Ses03F_impro08_F001,I [GARBAGE],neutral
Ses02F_impro08_M003,Okay.,neutral
Ses04M_impro04_F005,"Well, I mean, if it's that bad, maybe you're gonna have to take something that doesn't really fit, you know.  Like maybe you'll have to do something else for a while.  Find a new field, new skill.",neutral
Ses03F_script01_2_M006,You can't read her mind.,neutral
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neutral
Ses05M_impro08_M007,"Well, you know what, does your D.S.L. cable -- you have D.S.L., right?",neutral
Ses02M_impro08_F008,"Uh, I don't know where it came from and it's actually quite large, and I don't have the money for it so",neutral
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neutral
Ses01F_script01_3_F004,"For one thing, your mother much as told me to go.",neutral
Ses02M_script01_2_M007,You can't read her mind.,neutral
Ses05F_impro08_F012,Okay.,neutral
Ses02M_impro01_F004,Well,neutral
Ses02F_impro05_F001,"No, it didn't. um It didn't come out and I don't see it anywhere around here, so what can you do about that?",neutral
Ses01F_script02_1_M034,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",neutral
Ses04F_impro06_M007,It's sort of- it's almost better off to rest in peace than he is to live in pain.,neutral
Ses02M_impro05_F007,"Um, well, sometimes there is just difficulties with loading on to the plane. Uh- There can be a theft or uh- some sort of you know mishap with a cart or something.",neutral
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,neutral
Ses04F_script02_2_M000,"Well, so what do you think?",neutral
Ses01M_impro02_M000,"Hey, Joy come in here.",neutral
Ses03F_impro04_M008,"You are, you're going to class, you're learning, you're getting better. When you finally get that role you're going to be prepared.",neutral
Ses05M_script01_3_M022,I don't I don't know where to start.,neutral
Ses03M_script03_2_M010,I'll have a little I think.,neutral
Ses05M_impro05_F007,yeah.,neutral
Ses02M_script01_2_M005,"Well, so what?",neutral
Ses02F_script02_1_M013,"You cold?  Do you want my jacket?  Oh, we should've brought the blanket.  Our blanket.",neutral
Ses01M_impro05_F000,Can I help you?,neutral
Ses03F_impro04_M016,"Well, they tip well.",neutral
Ses03M_impro01_F003,No.  You filled out the back part.  You were supposed to fill out the front portion only.,neutral
Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,neutral
Ses02M_script03_2_F002,No it wasn't. It was very pretty I still have it and I wear it often.,neutral
Ses02F_script01_1_F026,[BREATHING] Have you asked Annie yet?,neutral
Ses05M_impro01_F009,I know.,neutral
Ses04M_impro01_M003,"Yes, I do.",neutral
Ses03F_impro05_M011,"I think that's kind of stupid, that you put a hundred thousands of dollars in the bag.",neutral
Ses03F_script03_2_M011,"I'll have a little, I think.",neutral
Ses03M_impro05a_F011,I'm sorry sir.,neutral
Ses02M_impro05_F010,Right.,neutral
Ses02M_impro08_M003,"I- I'll give you a little hint, next time if it asks if you're on a rotary phone you know, just stay on the line instead of - instead of hitting one or two to say if you're like on a touch tone",neutral
Ses03F_impro06_M001,We're all going to miss him.,neutral
Ses01F_script01_1_M040,Then help me stay here.,neutral
Ses02F_impro05_M007,"I think, um, maybe you can file a claim if you want and turn it in to our main office--",neutral
Ses02M_script03_2_F009,No thanks.,neutral
Ses04F_impro07_M032,A party celebrating your acceptance.,neutral
Ses01F_impro04_M025,"I am riding the bus, but by choice.",neutral
Ses04F_impro03_M047,"I don't know.  Okay.  I mean gosh.  There's just- look there's a lot of pressure in getting married, okay.",neutral
Ses04M_impro04_F013,You didn't do what I told you to do.,neutral
Ses05M_impro05_F009,Did you have insurance on your flight?,neutral
Ses01F_impro04_M012,Yeah.  Do you have a resume?,neutral
Ses01M_impro06_F010,Oh. Really fast? Oh.,neutral
Ses05M_impro08_F016,Okay.,neutral
Ses02F_script02_2_F000,About what?,neutral
Ses02F_script01_3_M001,You're not sorry you came?,neutral
Ses04F_impro08_F005,"Okay.  Um, and what was the complaint?",neutral
Ses03M_script01_1_F030,"Look, you never had seen many, many women.  You know?  I mean...",neutral
Ses01M_impro04_F022,I'm just saying that maybe you should take in some information before you produce more of your own.,neutral
Ses04F_script01_1_M017,I'm going to ask her to marry me.,neutral
Ses05M_impro01_F003,"Yeah.  So, I can't -- I can't do anything-",neutral
Ses01M_script02_2_F000,That's the wind.,neutral
Ses04M_script02_1_F000,Fine.,neutral
Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",neutral
Ses01M_script03_2_F010,"No, thank you.",neutral
Ses05M_impro07_F010,No.,neutral
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neutral
Ses05F_impro01_M000,"ahh Yeah, this is the wrong line.  I'm sorry.  You need to go back over to line two B.  That's where you should have started from.",neutral
Ses01M_impro05_F028,That's unfortunate.,neutral
Ses05F_impro04_M039,"You can't get a catering gig?  Well, I can call some friends.  I- Well, I did call some friends before, but you went in once and then never went back.",neutral
Ses02F_script02_2_M009,We've missed them twice.  That's not ever.,neutral
Ses05F_impro05_F006,That's good.,neutral
Ses03F_script01_1_M031,"I'll find out. But then after it's all over we'll thrash it out with dad, right?",neutral
Ses05F_script01_3_F008,"Well, from her point of view why else would I come?",neutral
Ses02F_impro08_F003,"Um, how may I help you.  You're trying to book a specific flight?",neutral
Ses05M_script03_1_M003,"We're all right, aren't we, darling, whatever happens?",neutral
Ses01M_impro05_F007,I'm just saying you don't need to talk to me like I-,neutral
Ses02F_impro08_F011,Absolutely. we we,neutral
Ses05M_impro08_F006,"Pretty much, yeah - I don't know if it's, like, bad phone lines or something.",neutral
Ses05F_impro05_M031,"Well, my hands are really tied then.",neutral
Ses02F_impro04_M006,"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot...",neutral
Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",neutral
Ses03M_impro08a_M010,We can do that.  We can do that.  You just have to sign a one-year contract though with the--,neutral
Ses04F_impro07_M035,"I don't know are you, like, I don't know.  Are you, like, available or anything?",neutral
Ses03F_script02_2_M016,Wait a minute. I got it.,neutral
Ses04F_impro07_M059,Or library.,neutral
Ses01M_impro05_F014,Do you have any i-?,neutral
Ses04M_impro04_F000,Well there has to be something you haven't tried.,neutral
Ses01M_script01_1_M017,I'm going to ask her to marry me.,neutral
Ses05M_impro07_F026,"Yeah.  I mean, I know, I know, like the- the housing surrounding the campus pretty well.",neutral
Ses02F_script02_2_M022,You want me to go get some champagne?,neutral
Ses01F_impro04_F014,Yeah.,neutral
Ses03M_impro01_F000,Is that a demand sir?,neutral
Ses03M_impro08a_M027,"You know maam, we record this conversation so anything you say can be proven in a law of court so keep that in mind.",neutral
Ses04M_script01_2_F001,Why does that bother you?,neutral
Ses04M_script02_2_F000,"Look at this, goose bumps.",neutral
Ses03M_impro04_F023,"Well... If you need something, I mean, you're just going to---can get a temporary thing right now and then look for something--",neutral
Ses01F_impro06_M008,How long were you there for?,neutral
Ses05F_impro05_M012,Are you sure?,neutral
Ses05M_script02_1_F001,What flashlight?,neutral
Ses02F_script02_1_M009,"Oh, well sure.",neutral
Ses04F_impro07_M076,"I mean it's not really free because you have to pay for it, but yeah.",neutral
Ses01M_impro05_F023,Yes.,neutral
Ses02M_impro05_F017,"We have very tight security but we -uh- there are times when we just can't uh make sure there aren't absolutely no human error, you know",neutral
Ses04F_impro06_M004,"Well I mean, you know, I mean it was I mean with that kind of condition,",neutral
Ses02F_impro05_M001,"Okay.  Um, well, unfortunately yeah there was a some- some problems with the--",neutral
